场号,镜号,时长,景别/机位,构图,画面动作,声音/节奏,戏剧功能,AI视频提示词
1,1-1,5s,远景，固定机位，高位俯拍,空镇街道占大面积，人物尚未入画；路灯被雨幕打散,暴雨倾泻，街道无人,雨声压满，低频环境音,建立环境与神秘氛围,中国县城空镇，午夜暴雨，积水街道反射路灯，冷蓝色调，无人迹象，远处高速隐约可见，温暖真实纪录片风格，16:9
1,1-2,6s,长焦远景，街口侧拍,雨衣人从画面一侧进入，被路灯背光勾边，脸完全藏在帽檐下,人物快速穿过街道,脚步踩水声加入,人物神秘入场,穿着硕大雨衣的人物在雨夜街道上匆匆走过，只见轮廓，脸被帽子遮挡，背光勾边，路灯在身后，低饱和温暖纪录感，16:9
1,1-3,4s,中近景，手持跟拍背侧,雨衣帽檐遮住头脸，身体被宽大雨衣吞没,雨衣人急走，偶尔回头,呼吸声略近，但不暴露身份,焦虑与逃离感,雨衣背影贴近镜头，只看到帽檐和衣角，镜头随身体微晃，暗示紧张情绪，16:9
1,1-4,5s,低机位，街面水洼反射,画面主体是水洼中的倒影，人物从倒影里掠过,身影变形、破碎,摩托声由远及近,倒影增强神秘感,街面积水倒影中闪现人物身影，灯光碎裂在水面，摩托声渐近，紧张节奏，16:9
1,1-5,5s,横移中景，巷口构图,巷口形成黑色竖框，雨衣人被挤在画面边缘,摩托车掠过，雨衣人闪进巷子,摩托声压过雨声,第一次危险与躲避,摩托车从镜头右侧掠过，强光扫过，雨衣人急速躲入黑色小巷，惊险节奏，16:9
1,1-6,4s,主观窥视，巷内向外看,巷口外街道亮，巷内黑；人物只露半个雨帽,等待摩托远去,声音渐远，停一拍,屏息等待,从巷内看出去，巷口外是雨夜街道，远处摩托声渐弱，紧张感释放，16:9
1,1-7,6s,远景，向高速方向纵深构图,街道尽头有高速灯光，人物小小地冲向亮处,雨衣人跑出小镇,节奏提速，转场前奏,向出口逃离,小人物冲向远处高速服务区的亮光，暴雨中身影渺小，推进感强，转向下一场，16:9
2,2-1,5s,超广角远景，正对围栏,围栏横贯全画面，占2/3高度；雨衣人站在底部很小,人物停在围栏前仰头看,雨声，远处高速车流声,障碍呈现,高速公路边的高围栏正对镜头，栏杆冷硬竖立，人物在底部显得极小，泥地积水，远处服务区隐约灯光，16:9
2,2-2,4s,仰拍中景,围栏向上延伸形成压迫线条，人物手抓铁网,雨衣人试图找落脚点,金属晃动声,第一次尝试,从下往上仰拍围栏，雨衣人双手抓住铁网，肌肉绷紧，栏杆压迫感极强，16:9
2,2-3,6s,侧面全景，固定,人物在画面左下，围栏后是服务区灯光,第一次攀爬失败，滑落,身体落泥声，剪辑停半拍,体力与失败,侧拍雨衣人从围栏滑下，摔入泥地溅起水花，身体沾满泥土，挫败感强烈，16:9
2,2-4,5s,近景，泥地低机位,手掌、膝盖、雨衣下摆沾泥,人物撑地起身,喘息更明显,不屈与坚持,近距离拍摄手掌按入泥地，膝盖磨破，雨衣满是泥污，人物咬牙站起，呼吸沉重，16:9
2,2-5,7s,手持中景，轻微晃动,围栏线条倾斜，制造不稳定,第二次攀爬，再次摔下,节奏急促，雨声不变,反复与绝望,手持镜头微晃，人物再次从围栏摔下，这次更狼狈，情绪逼近崩溃，16:9
2,2-6,4s,特写,雨帽下只能看到下巴/嘴角，水顺着脸线流下,人物咬住情绪，重新抬头,声音短暂抽空，只留呼吸,意志突破,极近特写，雨水混合泪水顺脸线流下，紧咬的嘴角，眼神坚定，短暂停顿凝重，16:9
2,2-7,8s,远景，剪影构图,人物终于翻到围栏上缘，背后服务区光亮像出口,艰难翻过围栏,车流声变近,胜利时刻,剪影中人物终于翻过围栏顶部，背后服务区灯光如出口，身体在逆光中显得英雄化，16:9
2,2-8,5s,背影全景，低角度,前方灯光与天光混合，人物一瘸一拐走向亮处,进入服务区方向,雨声稍退，转入服务区环境声,进入新空间,背影走向前方的灯光与黎明天光混合区域，跛足但坚持，转场到服务区环境音，16:9
3,3-1,6s,航拍/高位广角,一排排大货车像迷宫，车窗被帘子遮挡,服务区静止，雨仍在下,远处怠速声、雨声、偶发车身响,环境建立,从高位俯视，密集的大货车排成阵列如钢铁迷宫，车窗全被帘子遮挡，黎明前的蓝色调，雨雾笼罩，低饱和纪录感，16:9
3,3-2,5s,低机位跟拍,货车轮胎和底盘占画面主体，雨衣人在车缝间穿梭,雨衣人踮脚靠近一辆车,脚步刻意放轻,潜行与危险,低角度贴地跟拍，大货车轮胎和底盘占据画面压迫，雨衣人身影渺小地在车缝间移动，踮脚走路，极度紧张，16:9
3,3-3,4s,近景，车门把手,雨衣袖子伸入画面，手试探拉门,车门没开,门锁轻响被放大,犯罪瞬间,特写雨衣手臂伸向车门，手指按下把手，试图推动，门锁发出金属轻响，失败的瞬间，16:9
3,3-4,4s,车内反打/窗帘缝隙,司机被惊醒，帘子后有动作,张师傅起身,床铺摩擦、含混骂声,警觉被触发,透过车窗缝隙和帘子，看到车内人影起身，帘子晃动，司机被惊醒的模糊人影，16:9
3,3-5,6s,中景，车外侧面,张师傅下车，身形和货车压住画面；雨衣人缩向暗处,张师傅绕车查看并喊,台词：'哪个怂娃？'带方言冲击,司机对峙,张师傅下车咒骂，身体与货车形成压迫，雨衣人身影急速缩向黑暗，方言台词增强地域性，16:9
3,3-6,4s,车底低机位,车底黑暗横切画面，雨衣人身体贴地钻入,雨衣人躲到车下,呼吸声近，外面喊声远,险中求生,极低角度拍摄，大货车底盘黑暗横跨画面上半部，雨衣人身体贴地钻入暗处，呼吸急促，外面喊声渐远，16:9
3,3-7,5s,多窗格构图,几辆货车窗户依次亮/帘子动，司机们探看,周围司机被吵醒,人声层叠，空间扩大,警报扩散,多窗格构图，依次看到几辆货车窗户亮起，帘子晃动，多个司机的轮廓从睡眠中惊起，人声嘈杂，危险感扩大，16:9
3,3-8,5s,中远景，夏添车窗,夏添从车窗探出，头发乱，形成喜感第一印象,夏添问张师傅发生什么,对话节奏从紧张转生活化,人物对比登场,夏添从车窗探出，蓬乱的鸡窝头、睡衣样的穿着，形成与危险氛围的喜感反差，生活化登场，16:9
3,3-9,7s,双人中景,张师傅在前景，夏添下车走来；两人背后是货车阵列,张师傅提醒'油耗子'，夏添接话,雨声下压，台词清晰,日常互动,双人对话，张师傅在前景穿着背心，夏添走来，两人背后密集货车形成深度，方言对白展现老司机的日常生活气息，16:9
3,3-10,8s,蒙太奇，车辆检查,油箱、封条、轮胎、绳索、车头分别用近景串联,夏添检查车况,铁棍碰撞、手套摩擦、脚步绕车,职业细节,快速蒙太奇：特写油箱无破损、检查封条、扳动轮胎测气压、用铁棍绞缠固定绳、拍打车头检查，每个动作都展现职业素养和雨中的真实细节，16:9
3,3-11,5s,宽景，前后景调度,夏添在后厢检查为前景遮挡，驾驶室车门在后景,雨衣人从暗处钻出靠近驾驶室,音乐/低频重新抬起,机会转移,夏添在后景蹲伏检查后厢被前景遮挡，同时雨衣人从阴影中钻出，靠近驾驶室车门，绝妙的时间同步，16:9
3,3-12,4s,中近景，车门侧拍,车门打开形成暗框，雨衣人迅速爬入,偷上车,开门声短促，随即压低,目标达成,车门推开形成暗框，雨衣人身体迅速钻入驾驶室，动作干脆利落，声音设计从开门到沉寂的快速转变，16:9
3,3-13,5s,驾驶室外固定,夏添回到驾驶室，画面不揭示后座,他上车、发动,发动机声盖住潜伏感,身份隐没,夏添从外面走向驾驶室，爬上车，坐进驾驶室，镜头不拍后座，发动机声响起，雨衣人的潜伏被发动机声遮掩，16:9
3,3-14,5s,远景，服务区出口,货车驶出服务区，雨夜转向高速,车辆离开，进入下一场,远处发动机、雨声、高速背景音转场,场景转移,货车从服务区停放位驶出，朝向高速方向，车灯切开雨幕，黎明天光与夜色混合，完成场景转移转场，16:9
